job_title,job_category,salary_in_usd,experience_level,employment_type,work_setting,neighbourhood_group,neighbourhood,rent,latitude,longitude,amenity,amenity_value
Machine Learning Engineer,Machine Learning and AI,287500.0,Senior,Full-time,In-person,Brooklyn,Williamsburg,2950.0,40.71,-73.96378,has_doorman,0.0
Data Specialist,Data Management and Strategy,72000.0,Senior,Full-time,In-person,Manhattan,East Harlem,7700.0,40.79783,-73.94027,min_to_subway,4.0
Research Analyst,Data Science and Research,58200.0,Entry-level,Full-time,In-person,Brooklyn,Williamsburg,5250.0,40.71838,-73.95617,bathrooms,1.0
Data Analyst,Data Analysis,57800.0,Mid-level,Full-time,Remote,Brooklyn,Prospect Heights,8200.0,40.68098,-73.96604,bedrooms,2.0
Research Scientist,Data Science and Research,165000.0,Senior,Full-time,In-person,Manhattan,Upper East Side,3323.0,40.76922,-73.95648,has_patio,0.0
Data Architect,Data Architecture and Modeling,135000.0,Senior,Full-time,Remote,Brooklyn,Greenpoint,2800.0,40.73756,-73.9535,building_age_yrs,58.0
Data Scientist,Data Science and Research,159408.0,Senior,Full-time,Remote,Brooklyn,Gravesend,3100.0,40.60402,-73.97038,floor,11.0
Data Scientist,Data Science and Research,154800.0,Mid-level,Full-time,In-person,Manhattan,Hell's Kitchen,4000.0,40.76562,-73.98462,has_patio,0.0
Data Engineer,Data Engineering,140000.0,Mid-level,Full-time,Remote,Manhattan,Midtown,4020.0,40.75496,-73.96774,has_gym,0.0
Research Scientist,Data Science and Research,220000.0,Senior,Full-time,In-person,Brooklyn,Park Slope,4700.0,40.66617,-73.97593,size_sqft,749.0
Data Engineer,Data Engineering,103000.0,Mid-level,Full-time,In-person,Manhattan,Murray Hill,7000.0,40.74773,-73.97614,has_gym,0.0
Data Modeler,Data Architecture and Modeling,100000.0,Senior,Full-time,In-person,Manhattan,Tribeca,3850.0,40.72276,-74.0094,has_dishwasher,1.0
Data Quality Analyst,Data Quality and Operations,172000.0,Senior,Full-time,In-person,Manhattan,Harlem,6750.0,40.82092,-73.9573,has_roofdeck,0.0
Data Scientist,Data Science and Research,181500.0,Senior,Full-time,In-person,Brooklyn,Greenpoint,15000.0,40.72207,-73.94005,has_washer_dryer,0.0
Data Scientist,Data Science and Research,138900.0,Senior,Full-time,In-person,Brooklyn,Crown Heights,5295.0,40.67651,-73.94466,has_doorman,0.0
Data Engineer,Data Engineering,174500.0,Executive,Full-time,Remote,Manhattan,East Village,2100.0,40.72824,-73.98336,has_washer_dryer,0.0
Data Scientist,Data Science and Research,190200.0,Senior,Full-time,In-person,Manhattan,Upper West Side,2650.0,40.7751,-73.98595,has_patio,0.0
Data Scientist,Data Science and Research,73100.0,Mid-level,Full-time,In-person,Manhattan,Hell's Kitchen,3900.0,40.75622,-73.99455,has_dishwasher,1.0
Data Specialist,Data Management and Strategy,72000.0,Senior,Full-time,In-person,Manhattan,East Harlem,7700.0,40.79783,-73.94027,floor,10.0
Data Scientist,Data Science and Research,90000.0,Mid-level,Full-time,Remote,Brooklyn,Greenpoint,3197.0,40.72285,-73.94177,has_elevator,0.0
Machine Learning Scientist,Machine Learning and AI,171000.0,Senior,Full-time,Remote,Manhattan,Upper West Side,3500.0,40.79973,-73.9711,has_gym,0.0
Analytics Engineer,Leadership and Management,134000.0,Senior,Full-time,Remote,Queens,Astoria,4273.0,40.76497,-73.91029,has_doorman,0.0
Machine Learning Engineer,Machine Learning and AI,156000.0,Senior,Full-time,Remote,Manhattan,Harlem,4500.0,40.82452,-73.94984,bathrooms,1.0
Data Science Manager,Data Science and Research,234900.0,Senior,Full-time,In-person,Manhattan,Upper West Side,3196.0,40.80109,-73.96598,has_elevator,0.0
Data Engineer,Data Engineering,158600.0,Senior,Full-time,In-person,Manhattan,East Village,4500.0,40.72478,-73.98999,building_age_yrs,116.0
Machine Learning Engineer,Machine Learning and AI,140100.0,Senior,Full-time,In-person,Brooklyn,Kensington,3500.0,40.64573,-73.97711,bedrooms,1.0
Machine Learning Engineer,Machine Learning and AI,164000.0,Senior,Full-time,Remote,Manhattan,Financial District,4200.0,40.7048,-74.01078,has_dishwasher,0.0
Data Science Manager,Data Science and Research,190000.0,Senior,Full-time,Remote,Brooklyn,Williamsburg,3750.0,40.71067,-73.9525,size_sqft,761.0
Data Scientist,Data Science and Research,145000.0,Mid-level,Full-time,Remote,Manhattan,East Harlem,2200.0,40.7946,-73.94867,has_elevator,1.0
Data Engineer,Data Engineering,169000.0,Mid-level,Full-time,In-person,Queens,Jackson Heights,3000.0,40.75123,-73.87435,has_elevator,0.0
